resume_text,skills,qualification,experience
"Python developer with experience in Django web development and SQL database management","Python Django SQL",Bachelor,1
"Web developer skilled in HTML CSS JavaScript and Bootstrap","HTML CSS JavaScript Bootstrap",Bachelor,2
"Data analyst experienced in Python SQL Excel and Power BI","Python SQL Excel Power BI",Bachelor,2
"Machine learning enthusiast with Python SQL Pandas and machine learning knowledge","Python SQL Pandas Machine Learning",Master,1
"Java developer experienced in Java SQL and Spring framework","Java SQL Spring",Bachelor,2
"Full stack developer with React Node.js JavaScript and MongoDB experience","React Node.js JavaScript MongoDB",Bachelor,3
"Python Django developer with REST API development experience","Python Django REST API SQL",Bachelor,3
"Data scientist experienced in Python machine learning TensorFlow and data analysis","Python Machine Learning TensorFlow SQL",Master,3
"Frontend developer experienced in HTML CSS JavaScript and React","HTML CSS JavaScript React",Bachelor,2
"Backend developer experienced in Python Django REST API and PostgreSQL","Python Django REST API PostgreSQL",Bachelor,2
