title,company,location,skills,salary,description
Python Developer,Tech Solutions,Bangalore,Python Django SQL,400000,Develop web applications using Python and Django
Web Developer,WebTech,Bangalore,HTML CSS JavaScript,350000,Create and maintain responsive websites
Data Analyst,DataWorks,Hyderabad,Python SQL Excel Power BI,500000,Analyze data and prepare business reports
Data Scientist,AI Solutions,Bangalore,Python SQL Machine Learning,700000,Build machine learning models and analyze data
Java Developer,CodeSoft,Chennai,Java SQL Spring,450000,Develop enterprise applications using Java and Spring
Full Stack Developer,InnovateTech,Hyderabad,HTML CSS JavaScript React Node.js,600000,Develop frontend and backend web applications
Python Developer,InfoTech,Chennai,Python Django REST API,500000,Build backend applications and APIs
Data Analyst,Analytics Corp,Pune,Python SQL Excel Tableau,550000,Perform data analysis and visualization
Web Developer,DigitalWorks,Mumbai,HTML CSS JavaScript Bootstrap,400000,Develop and maintain websites
Java Developer,SoftwareHub,Pune,Java Spring Hibernate SQL,550000,Develop Java based software applications
